mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
89870,Ford,Focus,0,1,0,12980,150.0,2018,FordFocus
7150,Ford,Fiesta,1,0,0,13290,86.0,2018,FordFiesta
8600,Ford,C-Max,1,0,0,13750,101.0,2018,FordC-Max
19750,Ford,Focus,1,0,0,14450,125.0,2018,FordFocus
105950,Ford,Mondeo,0,0,0,14890,120.0,2018,FordMondeo
45900,Skoda,Octavia,0,0,0,14900,110.0,2018,SkodaOctavia
11250,Ford,Focus,1,0,0,15450,125.0,2018,FordFocus
111980,Ford,Mondeo,0,1,0,16290,150.0,2018,FordMondeo
29450,Ford,Focus,1,0,0,16450,140.0,2018,FordFocus
36803,Volkswagen,T-Roc,1,1,0,24790,150.0,2019,VolkswagenT-Roc
10000,Skoda,Octavia,1,1,1,29780,150.0,2019,SkodaOctavia
12000,Ford,Mondeo,2,1,0,31390,190.0,2019,FordMondeo
16422,Skoda,Kodiaq,0,1,0,31980,150.0,2019,SkodaKodiaq
17998,Volkswagen,Tiguan,1,1,0,32550,230.0,2019,VolkswagenTiguan
20980,Ford,Mondeo,0,1,0,33980,190.0,2019,FordMondeo
10,Skoda,Fabia,1,0,3,13290,60.0,2020,SkodaFabia
4428,Opel,Corsa,1,0,0,13380,101.0,2020,OpelCorsa
3574,Skoda,Fabia,1,0,0,13380,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13480,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13680,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13680,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13780,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13780,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13780,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13780,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13880,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13880,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13880,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13880,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,13880,60.0,2020,SkodaFabia
17354,Ford,Fiesta,1,0,0,13995,86.0,2020,FordFiesta
10,Skoda,Fabia,1,0,3,14270,95.0,2020,SkodaFabia
15,Skoda,Fabia,1,0,3,14380,95.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,14580,60.0,2020,SkodaFabia
10,Skoda,Fabia,1,0,3,14580,95.0,2020,SkodaFabia
363000,Volkswagen,Sharan,0,1,0,3900,140.0,2011,VolkswagenSharan
82000,Ford,Ka/Ka+,1,0,0,3900,69.0,2011,FordKa/Ka+
51245,Volkswagen,up!,1,0,0,3990,60.0,2011,Volkswagenup!
100000,Opel,Corsa,1,0,0,3990,69.0,2011,OpelCorsa
172000,Opel,Zafira,1,0,0,3999,116.0,2011,OpelZafira
174000,Opel,Zafira,1,0,0,3999,116.0,2011,OpelZafira
179000,Skoda,Octavia,1,0,0,4000,122.0,2011,SkodaOctavia
160000,Renault,Scenic,0,0,0,4100,131.0,2011,RenaultScenic
156000,Skoda,Fabia,1,0,0,4290,69.0,2012,SkodaFabia
65000,Opel,Corsa,1,0,0,4444,69.0,2012,OpelCorsa
104720,Skoda,Fabia,1,0,0,4490,69.0,2012,SkodaFabia
105993,Opel,Corsa,1,0,0,4490,69.0,2012,OpelCorsa
122500,Opel,Corsa,1,0,0,4500,69.0,2012,OpelCorsa
66500,Volkswagen,up!,1,0,0,4600,60.0,2012,Volkswagenup!
119395,Volkswagen,up!,1,0,0,4770,60.0,2012,Volkswagenup!
125000,Opel,Zafira,1,0,0,4785,116.0,2012,OpelZafira
179500,Opel,Astra,0,0,0,4800,125.0,2012,OpelAstra
126000,Opel,Astra,0,0,0,5485,95.0,2013,OpelAstra
83860,Volkswagen,up!,1,0,0,5490,60.0,2013,Volkswagenup!
129909,Skoda,Citigo,1,1,0,5490,60.0,2013,SkodaCitigo
139300,Ford,Fiesta,0,0,0,5499,95.0,2013,FordFiesta
260000,Ford,Mondeo,0,0,0,5499,163.0,2013,FordMondeo
89000,Ford,Focus,1,0,0,5670,101.0,2013,FordFocus
108500,Volkswagen,up!,1,0,0,5699,60.0,2013,Volkswagenup!
62523,Volkswagen,up!,1,0,0,4890,60.0,2014,Volkswagenup!
130125,Skoda,Citigo,1,0,0,4985,60.0,2014,SkodaCitigo
163025,Opel,Corsa,1,0,0,4990,69.0,2014,OpelCorsa
85123,Skoda,Citigo,1,0,0,4990,60.0,2014,SkodaCitigo
37128,Renault,Twingo,1,0,0,5200,71.0,2014,RenaultTwingo
77000,Opel,Corsa,1,0,0,5250,69.0,2014,OpelCorsa
222000,Ford,Focus,0,1,0,5300,140.0,2014,FordFocus
52000,Renault,Twingo,1,0,0,5300,75.0,2014,RenaultTwingo
39094,Opel,Corsa,1,0,0,5399,69.0,2014,OpelCorsa
65000,Ford,Ka/Ka+,1,0,0,5499,69.0,2014,FordKa/Ka+
63650,Ford,Fiesta,1,0,0,5500,60.0,2014,FordFiesta
244400,Ford,C-Max,1,0,0,3900,125.0,2015,FordC-Max
96420,Skoda,Citigo,1,0,0,4799,60.0,2015,SkodaCitigo
68000,Skoda,Citigo,1,0,0,5200,60.0,2015,SkodaCitigo
119934,Renault,Kangoo,0,0,0,5250,90.0,2015,RenaultKangoo
46000,Renault,Twingo,1,0,0,5500,71.0,2015,RenaultTwingo
68041,Skoda,Octavia,1,1,0,17990,150.0,2016,SkodaOctavia
63050,Skoda,Superb,1,1,0,19333,220.0,2016,SkodaSuperb
56850,Skoda,Superb,1,1,0,19888,179.0,2016,SkodaSuperb
99293,Volkswagen,Sharan,0,1,0,20333,150.0,2016,VolkswagenSharan
64403,Volkswagen,T-Roc,1,0,0,18444,116.0,2018,VolkswagenT-Roc
77358,Ford,Transit,0,0,0,18500,131.0,2018,FordTransit
33542,Volkswagen,Golf Sportsvan,1,0,0,18690,110.0,2018,VolkswagenGolf Sportsvan
25979,Volkswagen,Golf Sportsvan,1,1,0,18690,110.0,2018,VolkswagenGolf Sportsvan
82774,Ford,Transit,0,0,0,18800,131.0,2018,FordTransit
55977,Skoda,Octavia,0,1,0,18950,116.0,2018,SkodaOctavia
98800,Ford,S-Max,0,1,0,19000,190.0,2018,FordS-Max
84166,Volkswagen,Touran,0,0,0,19280,150.0,2018,VolkswagenTouran
121557,Volkswagen,Tiguan,0,1,0,19445,150.0,2018,VolkswagenTiguan
43144,Skoda,Octavia,0,1,0,19650,150.0,2018,SkodaOctavia
72902,Volkswagen,Golf,1,1,0,13999,116.0,2019,VolkswagenGolf
74561,Volkswagen,Golf,1,1,0,14400,116.0,2019,VolkswagenGolf
74163,Volkswagen,Golf,1,1,0,14450,116.0,2019,VolkswagenGolf
77013,Volkswagen,Golf,1,1,0,14450,116.0,2019,VolkswagenGolf
20245,Volkswagen,Golf,1,0,0,14490,86.0,2019,VolkswagenGolf
16324,Ford,EcoSport,1,0,0,14700,125.0,2019,FordEcoSport
71692,Volkswagen,Golf,1,1,0,14750,116.0,2019,VolkswagenGolf
68806,Volkswagen,Golf,1,1,0,14750,116.0,2019,VolkswagenGolf
70963,Volkswagen,Golf,1,1,0,14799,116.0,2019,VolkswagenGolf
21500,Volkswagen,Polo,1,0,0,15222,95.0,2019,VolkswagenPolo
39628,Volkswagen,Polo,1,0,0,16777,95.0,2019,VolkswagenPolo
34100,Volkswagen,Polo,0,1,0,16888,95.0,2019,VolkswagenPolo
28989,Renault,Megane,1,0,0,16900,140.0,2019,RenaultMegane
57182,Volkswagen,Golf Variant,0,1,0,16990,116.0,2019,VolkswagenGolf Variant
56906,Volkswagen,Golf Variant,0,1,0,17450,116.0,2019,VolkswagenGolf Variant
51826,Volkswagen,Golf Variant,0,1,0,17450,116.0,2019,VolkswagenGolf Variant
60504,Volkswagen,Golf,0,0,0,17666,150.0,2019,VolkswagenGolf
3950,Renault,Megane,1,0,1,38280,300.0,2020,RenaultMegane
100,Renault,ZOE,2,1,3,41195,69.0,2020,RenaultZOE
